,歌曲名称,简要描述,歌曲介绍
0,I Want...,陈奕迅、Renée Fleming、郎朗演唱歌曲,《I Want...》是由Jon Hendricks、Chun Keung Lam、Ming Si Tu作词，Jon Hendricks作曲，陈奕迅、Renée Fleming、郎朗演唱的一首歌曲，发行于2021年9月10日。
1,是但求其爱,陈奕迅演唱歌曲,《是但求其爱》是由小克作词，林家谦作曲， 陈奕迅演唱的一首歌曲，发行于2020年11月20日。
2,致明日的舞,陈奕迅演唱歌曲,《致明日的舞》是由Oscar作词，林家谦作曲，陈奕迅演唱的一首歌曲，发行于2020年10月21日。
3,Fight As One,陈奕迅、蔡依林演唱歌曲,《Fight As One》（共同体的战斗）是陈奕迅、蔡依林演唱的一首英文歌曲，由Andrew Chu、Eric Kwok（郭伟亮）、Jerald Chan（陈哲庐）作词，宋秉洋作曲。该歌曲于2020年4月3日云南广播电视台发行。
4,破坏王,陈奕迅演唱歌曲,《破坏王》是由陈咏谦作词，王双骏作曲，陈奕迅演唱的一首歌曲，发行于2018年10月18日，收录于专辑《L.O.V.E.》中。
5,海里睡人,陈奕迅演唱的歌曲,《海里睡人》是由卢凯彤作词，孙伟明、卢凯彤作曲，陈奕迅演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
6,渐渐,陈奕迅演唱歌曲,《渐渐》是由陈咏谦作词，张杰邦作曲，陈奕迅演唱的一首歌曲，发行于2018年06月22日。2018年12月18日，该曲获得BILLBOARD RADIO粤语年度十大金曲奖。
7,敬烟,陈奕迅演唱的歌曲,《敬烟》是由陈咏谦作词，苏德华作曲，陈奕迅和eason and the duo band演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
8,蠢,陈奕迅演唱歌曲,《蠢》是由陈咏谦作词，陈铭泽作曲，陈奕迅演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
9,疯狂的朋友,陈奕迅演唱的歌曲,《疯狂的朋友》是由陈咏谦作词，恭硕良作曲，陈奕迅演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
10,R U N,岑宁儿和陈奕迅合唱歌曲,《R U N》是由岑宁儿作词、作曲并与陈奕迅合唱的一首歌曲，收录于2018年12月12日发行的专辑《L.O.V.E.》中。
11,龙舌兰,陈奕迅演唱歌曲,《龙舌兰》是由陈咏谦作词，Chris Polanco作曲，陈奕迅演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
12,我们万岁,陈奕迅演唱歌曲,《我们万岁》是由陈咏谦作词，翁玮盈作曲，陈奕迅演唱的一首歌曲，收录于专辑《L.O.V.E.》中，发行于2018年12月12日。
13,可一可再,陈奕迅作曲并演唱的歌曲,《可一可再》是由陈咏谦作词，陈奕迅作曲并演唱的一首歌曲，发行于2018年08月24日。2018年12月18日，该曲获得BILLBOARD RADIO粤语年度十大金曲奖。
